x1,x2,d,y,e,membership_function
-1,0.0909091,1.0978472,1.102624,2.28e-05,gaussmf
-1,0.0909091,1.0398939,1.0439325,1.63e-05,gaussmf
-1,0.1111111,0.9835731,0.9869231,1.12e-05,gaussmf
-1,0.1111111,0.9288848,0.9316103,7.4e-06,gaussmf
-1,0.1111111,0.875829,0.8780079,4.7e-06,gaussmf
-1,0.1313131,0.8244057,0.8261282,3e-06,gaussmf
-1,0.1313131,0.7746148,0.7759823,1.9e-06,gaussmf
-1,0.1313131,0.7264565,0.7275794,1.3e-06,gaussmf
-1,0.1515152,0.6799306,0.6809271,1e-06,gaussmf
-1,0.1515152,0.6350372,0.6360308,1e-06,gaussmf
-1,0.1515152,0.5917763,0.5928936,1.2e-06,gaussmf
-1,0.1717172,0.5501479,0.5515161,1.9e-06,gaussmf
-1,0.1717172,0.510152,0.5118967,3e-06,gaussmf
-1,0.1717172,0.4717886,0.4740309,5e-06,gaussmf
-1,0.1919192,0.4350576,0.4379115,8.1e-06,gaussmf
-1,0.1919192,0.3999592,0.4035286,1.27e-05,gaussmf
-1,0.1919192,0.3664932,0.3708692,1.91e-05,gaussmf
-1,0.2121212,0.3346597,0.3399179,2.76e-05,gaussmf
-1,0.2121212,0.3044587,0.3106559,3.84e-05,gaussmf
-1,0.2121212,0.2758902,0.2830617,5.14e-05,gaussmf
-1,0.2323232,0.2489542,0.2571111,6.65e-05,gaussmf
-1,0.2323232,0.2236506,0.2327768,8.33e-05,gaussmf
-1,0.2323232,0.1999796,0.210029,0.000101,gaussmf
-1,0.2525253,0.177941,0.1888348,0.0001187,gaussmf
-1,0.2525253,0.1575349,0.1691588,0.0001351,gaussmf
-1,0.2525253,0.1387614,0.1509629,0.0001489,gaussmf
-1,0.2727273,0.1216202,0.1342064,0.0001584,gaussmf
-1,0.2727273,0.1061116,0.1188459,0.0001622,gaussmf
-1,0.2727273,0.0922355,0.104835,0.0001587,gaussmf
-1,0.2929293,0.0799918,0.092124,0.0001472,gaussmf
-1,0.2929293,0.0693807,0.0806594,0.0001272,gaussmf
-1,0.2929293,0.060402,0.0703858,9.97e-05,gaussmf
-1,0.3131313,0.0530558,0.0612455,6.71e-05,gaussmf
-1,0.3131313,0.0473421,0.0531793,3.41e-05,gaussmf
-1,0.3131313,0.0432609,0.0461267,8.2e-06,gaussmf
-1,0.3333333,0.0408122,0.040026,6e-07,gaussmf
-1,0.3333333,0.0399959,0.0348149,2.68e-05,gaussmf
-1,0.3333333,8.0791756,8.0711986,6.36e-05,gaussmf
-1,0.3535354,7.9183757,7.914794,1.28e-05,gaussmf
-1,0.3535354,7.7592082,7.7592788,0,gaussmf
-1,0.3535354,7.6016733,7.6047155,9.3e-06,gaussmf
-1,0.3737374,7.4457708,7.4511655,2.91e-05,gaussmf
-1,0.3737374,7.2915009,7.2986896,5.17e-05,gaussmf
-1,0.3737374,7.1388634,7.1473468,7.2e-05,gaussmf
-1,0.3939394,6.9878584,6.9971949,8.72e-05,gaussmf
-1,0.3939394,6.8384859,6.8482895,9.61e-05,gaussmf
-1,0.3939394,6.6907458,6.7006839,9.88e-05,gaussmf
-1,0.4141414,6.5446383,6.554428,9.58e-05,gaussmf
-1,0.4141414,6.4001632,6.4095681,8.85e-05,gaussmf
