x1,x2,d_exact,output,error
-1,0.494949494949495,0.51015202530354,0.514809843579199,2.16952710890581e-05
-1,0.515151515151515,0.470156106519743,0.475190435829612,2.53444716002119e-05
-1,0.535353535353535,0.431792674216917,0.437324619546396,3.06024191283492e-05
-1,0.555555555555556,0.395061728395062,0.401205225632223,3.77425583030132e-05
-1,0.575757575757576,0.359963269054178,0.366822284180342,4.70460885009388e-05
-1,0.595959595959596,0.326497296194266,0.334162976175368,5.8762649572675e-05
-1,0.616161616161616,0.294663809815325,0.303211604210147,7.30647890161486e-05
-1,0.636363636363636,0.264462809917355,0.273949580867124,8.99988230533687e-05
-1,0.656565656565657,0.235894296500357,0.246355433131609,0.000109435379617717
-1,0.676767676767677,0.20895826956433,0.220404820902242,0.000131023537531461
